Date,Open,High,Low,Close,Adj Close,Volume
2017-08-18,5.590000,5.660000,5.550000,5.620000,5.380901,91504708
2017-08-21,5.590000,5.650000,5.560000,5.630000,5.390476,74464483
2017-08-22,5.620000,5.700000,5.600000,5.690000,5.447924,86319066
2017-08-23,5.680000,5.860000,5.670000,5.850000,5.601117,202140259
2017-08-24,5.880000,5.950000,5.830000,5.920000,5.668139,148216336
2017-08-25,5.900000,6.180000,5.900000,6.160000,5.897928,271353319
2017-08-28,6.140000,6.180000,6.000000,6.050000,5.792608,350736230
2017-08-29,6.030000,6.080000,5.980000,6.080000,5.821332,171271879
2017-08-30,6.080000,6.110000,5.890000,5.970000,5.716011,262925061
2017-08-31,5.950000,5.980000,5.840000,5.900000,5.648989,253155276
2017-09-01,5.860000,5.920000,5.760000,5.790000,5.543669,339965742
2017-09-04,5.770000,5.890000,5.760000,5.880000,5.629840,211666394
2017-09-05,5.870000,6.000000,5.860000,5.950000,5.696862,233924165
2017-09-06,5.930000,5.970000,5.880000,5.900000,5.648989,123343230
2017-09-07,5.900000,5.910000,5.840000,5.880000,5.629840,115894472
2017-09-08,5.870000,5.940000,5.850000,5.900000,5.648989,108732818
2017-09-11,5.920000,5.980000,5.880000,5.890000,5.639415,175642889
2017-09-12,5.880000,5.940000,5.830000,5.930000,5.677713,144631718
2017-09-13,5.910000,5.960000,5.900000,5.930000,5.677713,121844498
2017-09-14,5.920000,5.970000,5.860000,5.880000,5.629840,176281176
2017-09-15,5.860000,5.860000,5.750000,5.770000,5.524520,202403542
2017-09-18,5.800000,5.810000,5.730000,5.760000,5.514946,127689033
2017-09-19,5.750000,5.790000,5.670000,5.780000,5.534095,212680945
2017-09-20,5.750000,5.810000,5.720000,5.790000,5.543669,120030200
2017-09-21,5.780000,5.960000,5.770000,5.950000,5.696862,239030148
2017-09-22,5.940000,6.050000,5.930000,5.980000,5.725586,175178547
2017-09-25,5.950000,6.140000,5.950000,6.110000,5.850055,208888584
2017-09-26,6.090000,6.130000,6.070000,6.070000,5.811757,129564418
2017-09-27,6.050000,6.060000,5.980000,6.020000,5.763884,170251744
2017-09-28,6.000000,6.060000,5.950000,6.050000,5.792608,140886800
2017-09-29,6.040000,6.060000,5.960000,6.000000,5.744735,137529592
2017-10-09,6.270000,6.330000,6.020000,6.100000,5.840480,414399190
2017-10-10,6.090000,6.190000,5.990000,6.140000,5.878778,316079890
2017-10-11,6.110000,6.240000,6.110000,6.200000,5.936226,196126953
2017-10-12,6.180000,6.240000,6.170000,6.210000,5.945801,129540549
2017-10-13,6.200000,6.220000,6.130000,6.140000,5.878778,153843698
2017-10-16,6.120000,6.220000,6.100000,6.210000,5.945801,179952145
2017-10-17,6.190000,6.220000,6.140000,6.150000,5.888353,145514380
2017-10-18,6.170000,6.290000,6.130000,6.280000,6.012823,259896911
2017-10-19,6.250000,6.400000,6.240000,6.340000,6.070270,225511382
2017-10-20,6.320000,6.330000,6.230000,6.240000,5.974524,144158795
2017-10-23,6.220000,6.240000,6.170000,6.190000,5.926651,154687848
2017-10-24,6.190000,6.250000,6.180000,6.230000,5.964950,156380629
2017-10-25,6.210000,6.230000,6.130000,6.160000,5.897928,165866636
2017-10-26,6.140000,6.150000,6.040000,6.050000,5.792608,364883204
2017-10-27,6.050000,6.260000,6.020000,6.190000,5.926651,456396456
2017-10-30,6.180000,6.280000,6.150000,6.250000,5.984099,263233902
2017-10-31,6.240000,6.250000,6.090000,6.100000,5.840480,202807487
2017-11-01,6.110000,6.130000,6.060000,6.090000,5.830906,209096869
2017-11-02,6.090000,6.090000,5.990000,6.090000,5.830906,204958070
2017-11-03,6.070000,6.110000,6.010000,6.100000,5.840480,210266136
2017-11-06,6.060000,6.080000,6.000000,6.050000,5.792608,159651203
2017-11-07,6.030000,6.100000,6.000000,6.070000,5.811757,342152972
2017-11-08,6.060000,6.090000,6.000000,6.040000,5.783033,310705352
2017-11-09,6.020000,6.030000,5.940000,5.940000,5.687288,271419866
2017-11-10,5.950000,5.950000,5.810000,5.820000,5.572393,418466273
2017-11-13,5.840000,5.980000,5.830000,5.960000,5.706437,406579575
2017-11-14,5.960000,5.980000,5.880000,5.910000,5.658564,191109921
2017-11-15,5.880000,5.950000,5.860000,5.910000,5.658564,169395753
2017-11-16,5.890000,5.910000,5.820000,5.850000,5.601117,214623274
2017-11-17,5.860000,6.040000,5.860000,6.030000,5.773459,409505367
2017-11-20,6.010000,6.140000,5.980000,6.110000,5.850055,379993825
2017-11-21,6.080000,6.170000,6.040000,6.120000,5.859630,417291209
2017-11-22,6.140000,6.290000,6.140000,6.230000,5.964950,431869596
2017-11-23,6.230000,6.310000,6.060000,6.120000,5.859630,372566390
2017-11-24,6.110000,6.130000,5.980000,6.070000,5.811757,306449138
2017-11-27,6.040000,6.040000,5.920000,5.980000,5.725586,332282332
2017-11-28,5.950000,5.970000,5.890000,5.920000,5.668139,199104727
2017-11-29,5.940000,5.990000,5.880000,5.920000,5.668139,185199903
2017-11-30,5.920000,5.930000,5.870000,5.920000,5.668139,164818756
2017-12-01,5.910000,5.910000,5.860000,5.890000,5.639415,163447622
2017-12-04,5.870000,5.920000,5.840000,5.890000,5.639415,148633125
2017-12-05,5.890000,6.040000,5.870000,6.000000,5.744735,364860379
2017-12-06,5.980000,6.000000,5.910000,5.970000,5.716011,205195359
2017-12-07,5.940000,5.950000,5.850000,5.900000,5.648989,164584892
2017-12-08,5.880000,5.900000,5.860000,5.880000,5.629840,155417340
2017-12-11,5.880000,5.890000,5.820000,5.890000,5.639415,175362071
2017-12-12,5.880000,5.890000,5.830000,5.840000,5.591542,122770430
2017-12-13,5.850000,5.910000,5.810000,5.900000,5.648989,166940195
2017-12-14,5.900000,5.970000,5.880000,5.890000,5.639415,146937837
2017-12-15,5.880000,5.890000,5.830000,5.850000,5.601117,116848154
2017-12-18,5.860000,5.920000,5.850000,5.920000,5.668139,167000651
2017-12-19,5.900000,6.000000,5.890000,5.980000,5.725586,272821569
2017-12-20,5.990000,6.030000,5.940000,5.970000,5.716011,190041016
2017-12-21,5.970000,5.990000,5.940000,5.960000,5.706437,146581853
2017-12-22,5.970000,5.980000,5.920000,5.920000,5.668139,118660402
2017-12-25,5.930000,6.030000,5.930000,6.000000,5.744735,239636448
2017-12-26,6.000000,6.100000,5.980000,6.080000,5.821332,216532909
2017-12-27,6.090000,6.150000,6.020000,6.050000,5.792608,215140064
2017-12-28,6.030000,6.140000,6.020000,6.140000,5.878778,210088644
2017-12-29,6.130000,6.220000,6.120000,6.200000,5.936226,216899773
